rate,IR,totalAsset2023,totalDebt2023,totalEquity2023,revenue2023,operatingIncome2023,earningBeforeTax2023,margin2023,turnover2023,leverage2023,totalAsset2022,totalDebt2022,totalEquity2022,revenue2022,operatingIncome2022,earningBeforeTax2022,margin2022,turnover2022,leverage2022,totalAsset2021,totalDebt2021,totalEquity2021,revenue2021,operatingIncome2021,earningBeforeTax2021,margin2021,turnover2021,leverage2021
BBB,10,23188651000,17173572000,6015079000,30298500000,1129214000,853326000,0.028,1.307,3.855,14192990000,8777270000,5415720000,16974662000,622481000,207581000,0.012,1.196,2.621,11315511000,6091141000,5224370000,17782290000,459203000,430429000,0.024,1.571,2.166
BBB,10,43807946000,28391559000,15416387000,54246208000,1481619000,433319000,0.008,1.238,2.842,39123000000,26567000000,12556000000,38151000000,1499000000,584000000,0.015,0.975,3.116,34553901000,26475978000,8077923000,39304316000,1466882000,640425000,0.016,1.137,4.278
BBB,14,21649017000,8413938000,13235079000,10782304000,-357626000,65475000,0.006,0.498,1.636,23748472000,10576193000,13172279000,12964399000,511763000,342819000,0.026,0.546,1.803,23156661000,10378996000,12777665000,10026009000,80489000,19262000,0.002,0.433,1.812
BBB,10,24374612000,13914377000,10460235000,34120999000,2741962000,2125615000,0.062,1.4,2.33,24058763000,15580817000,8477946000,14341830000,178165000,167273000,0.012,0.596,2.838,20175347000,11682423000,8492924000,19196465000,1709748000,1333841000,0.069,0.951,2.376
BBB,10,2.10E+11,1.42E+11,67527956250,2.92E+11,9395601425,7886095769,0.027,1.392,3.11,2.21E+11,1.58E+11,62701053016,2.85E+11,-1121315071,386444352,0.001,1.29,3.52,2.12E+11,1.51E+11,60855142980,2.36E+11,-16352615533,-20740527915,-0.088,1.113,3.476
BBB,10,1.02E+11,74676000000,26944000000,2.61E+11,5844000000,1102000000,0.004,2.572,3.772,98383969000,71663665000,26720304000,2.39E+11,5394922000,1462788000,0.006,2.43,3.682,92831682000,66612436000,26219246000,2.30E+11,4385568000,2798330000,0.012,2.482,3.541
BBB,1,1.21E+11,52721842145,68581531119,83240454815,6269393301,2014422722,0.024,0.686,1.769,1.31E+11,71131716248,59815439793,81029421374,6187122199,-1779682747,-0.022,0.619,2.189,1.29E+11,71934144979,57467206812,79576699842,5014072753,5207903361,0.065,0.615,2.252
BBB,12,6492499000,1991517000,4500982000,6510800000,305748000,323802000,0.05,1.003,1.442,7619907000,3090115000,4529792000,14233590000,730961000,681865000,0.048,1.868,1.682,10738456000,6315524000,4422932000,15434684000,793959000,783263000,0.051,1.437,2.428
BBB,14,28820636000,7519548000,21301088000,73623418000,987014000,850684000,0.012,2.555,1.353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BBB,9,17753767000,11114161000,6639606000,2385792000,-762090000,-1157759000,-0.485,0.134,2.674,18916105000,11120530000,7795575000,3408403000,155583000,-124689000,-0.037,0.18,2.427,19111036000,11200318000,7910718000,2992009000,224909000,96890000,0.032,0.157,2.416
BBB,10,60597752000,29349936000,31247816000,36383754000,809785000,570249000,0.016,0.6,1.939,56600453000,25428374000,31172079000,29283608000,1308938000,1049433000,0.036,0.517,1.816,63180756000,32598776000,30581980000,22149895000,355626000,1818292000,0.082,0.351,2.066
BBB,10,64396806000,39322051000,25074755000,35578081000,1401498000,570347000,0.016,0.552,2.568,58578000000,34039000000,24539000000,37549000000,2039000000,1208000000,0.032,0.641,2.387,58646000000,35210000000,23436000000,36298000000,1495000000,1398000000,0.039,0.619,2.502
